alt_name,short_name,inventory,reference_original,reference,seedSource,seedType
1256,1001012,R70,Variety-43,Variety-43,SourceA,Breeder seed
422,1000142,F1,None,None,None,None
453,1000211,F2,None,None,None,None
460,1000229,F3,None,None,None,None
447,1000201,F4,None,None,None,None
418,1000135,F5,None,None,None,None
747,1000756,F6,None,None,None,None
440,1000188,F7,None,None,None,None
469,1000248,F8,None,None,None,None
457,1000225,F9,None,None,None,None
420,1000139,F10,None,None,None,None
444,1000198,F11,None,None,None,None
432,1000165,F12,None,None,None,None
409,1000116,F13,None,None,None,None
435,1000183,F14,None,None,None,None
448,1000202,F15,None,None,None,None
427,1000158,F16,None,None,None,None
433,1000181,F17,None,None,None,None
454,1000212,F18,None,None,None,None
458,1000226,F19,None,None,None,None
426,1000157,F20,None,None,None,None
468,1000246,F21,None,None,None,None
436,1000185,F22,None,None,None,None
617,1000395,F23,None,None,None,None
608,1000360,F24,None,None,None,None
456,1000214,F25,None,None,None,None
424,1000145,F26,None,None,None,None
624,1000405,F27,None,None,None,None
401,1000100,F28,None,None,None,None
642,1000473,F29,None,None,None,None
603,1000350,F30,None,None,None,None
630,1000427,F31,None,None,None,None
655,1000504,F32,None,None,None,None
438,1000186,F33,None,None,None,None
635,1000448,F34,None,None,None,None
408,1000110,F35,None,None,None,None
411,1000117,F36,None,None,None,None
417,1000133,F37,None,None,None,None
405,1000106,F38,None,None,None,None
404,1000104,F39,None,None,None,None
745,1000752,F40,None,None,None,None
632,1000431,F41,None,None,None,None
643,1000474,F42,None,None,None,None
640,1000458,F43,None,None,None,None
631,1000429,F44,None,None,None,None
402,1000102,F45,None,None,None,None
615,1000379,F46,None,None,None,None
647,1000481,F47,None,None,None,None
618,1000397,F48,None,None,None,None
746,1000754,F49,None,None,None,None
419,1000137,F50,None,None,None,None
601,1000346,F51,None,None,None,None
654,1000502,F52,None,None,None,None
685,1000595,F53,None,None,None,None
1148,1000988,F54,None,None,None,None
604,1000352,F55,None,None,None,None
637,1000452,F56,None,None,None,None
641,1000471,F57,None,None,None,None
622,1000401,F58,None,None,None,None
597,1000329,F59,None,None,None,None
633,1000444,F60,None,None,None,None
616,1000381,F61,None,None,None,None
639,1000456,F62,None,None,None,None
657,1000518,F63,None,None,None,None
739,1000732,F64,None,None,None,None
629,1000425,F65,None,None,None,None
609,1000370,F66,None,None,None,None
738,1000731,F67,None,None,None,None
431,1000164,F68,None,None,None,None
446,1000200,F69,None,None,None,None
741,1000734,F70,None,None,None,None
660,1000521,F71,None,None,None,None
683,1000593,F72,None,None,None,None
743,1000738,F73,None,None,None,None
742,1000736,F74,None,None,None,None
484,1000289,F75,None,None,None,None
589,1000588,F76,None,None,None,None
542,1000439,F77,None,None,None,None
677,1000575,F78,None,None,None,None
596,1000328,F79,None,None,None,None
602,1000348,F80,None,None,None,None
651,1000497,F81,None,None,None,None
625,1000418,F82,None,None,None,None
613,1000376,F83,None,None,None,None
